gameid,top_blue,jng_blue,mid_blue,bot_blue,sup_blue,top_red,jng_red,mid_red,bot_red,sup_red,result
LOLTMNT03_336084,Rumble,Pantheon,LeBlanc,Sivir,Bard,K'Sante,Nocturne,Orianna,Jhin,Elise,1
13061-13061_game_1,Renekton,Malphite,Orianna,Yunara,Neeko,K'Sante,Ambessa,Azir,Jhin,Rell,1
13061-13061_game_2,Rumble,Jarvan IV,Aurora,Miss Fortune,Alistar,Yorick,Vi,Sylas,Varus,Leona,1
LOLTMNT06_164115,Sion,Jarvan IV,Orianna,Aphelios,Thresh,Gwen,Wukong,Galio,Yunara,Rakan,0
LOLTMNT03_336132,Kled,Xin Zhao,Viktor,Caitlyn,Karma,Sion,Wukong,Syndra,Corki,Leona,0
LOLTMNT05_171122,Rumble,Jarvan IV,Galio,Tristana,Rakan,Kennen,Wukong,Qiyana,Lucian,Braum,1
LOLTMNT03_336148,K'Sante,Jarvan IV,Taliyah,Lucian,Braum,Zaahen,Naafiri,Ryze,Tristana,Lulu,1
LOLTMNT06_164116,K'Sante,Malphite,Sylas,Varus,Nautilus,Zaahen,Jayce,LeBlanc,Jhin,Leona,0
LOLTMNT05_171125,Sion,Dr. Mundo,Nasus,Seraphine,Karma,Gwen,Ambessa,Swain,Ashe,Neeko,0
LOLTMNT03_336160,Renekton,Poppy,Ryze,Aphelios,Neeko,Sion,Wukong,Anivia,Corki,Nautilus,1
LOLTMNT06_164122,Rumble,Vi,Ryze,Lucian,Braum,Ambessa,Viego,Viktor,Kai'Sa,Alistar,1
LOLTMNT05_171130,Gwen,Xin Zhao,Syndra,Ezreal,Rell,Camille,Wukong,Orianna,Corki,Rakan,1
LOLTMNT03_337182,Zaahen,Xin Zhao,Orianna,Ezreal,Rell,Malphite,Vi,Akali,Kai'Sa,Rakan,0
LOLTMNT06_164125,Aatrox,Ambessa,Galio,Kai'Sa,Neeko,Renekton,Wukong,Syndra,Corki,Leona,1
LOLTMNT05_171133,Yorick,Jayce,Ahri,Yunara,Nautilus,K'Sante,Malphite,Aurora,Corki,Rell,0
LOLTMNT06_164126,K'Sante,Viego,Orianna,Lucian,Alistar,Rumble,Naafiri,Akali,Yunara,Lulu,0
LOLTMNT03_337247,Ambessa,Dr. Mundo,Azir,Varus,Alistar,Aatrox,Malphite,Akali,Yunara,Nautilus,1
LOLTMNT03_336219,Rumble,Xin Zhao,Ryze,Ezreal,Leona,K'Sante,Jarvan IV,Cassiopeia,Yunara,Rell,1
LOLTMNT03_336220,K'Sante,Vi,Taliyah,Yunara,Nautilus,Ambessa,Xin Zhao,Ryze,Aphelios,Poppy,0
LOLTMNT03_336226,Zaahen,Nocturne,Syndra,Jhin,Nautilus,Sion,Ambessa,Orianna,Varus,Alistar,0
LOLTMNT03_337254,Renekton,Pantheon,Orianna,Sivir,Leona,Gwen,Wukong,Diana,Varus,Rell,0
LOLTMNT03_336227,Zaahen,Wukong,Ahri,Kai'Sa,Rakan,K'Sante,Vi,Taliyah,Aphelios,Thresh,0
LOLTMNT03_337260,Jax,Malphite,Taliyah,Kai'Sa,Rakan,Yorick,Wukong,Twisted Fate,Zeri,Lulu,1
LOLTMNT03_336232,Sejuani,Jayce,Syndra,Ashe,Alistar,Yorick,Qiyana,Viktor,Jhin,Bard,0
13062-13062_game_1,Rumble,Ambessa,Ahri,Varus,Rell,K'Sante,Qiyana,Ryze,Yunara,Braum,0
LOLTMNT03_336244,Kennen,Xin Zhao,Orianna,Yunara,Alistar,Renekton,Pantheon,Azir,Corki,Nami,0
13062-13062_game_2,Renekton,Malphite,Syndra,Miss Fortune,Alistar,Jax,Dr. Mundo,Taliyah,Sivir,Lulu,0
LOLTMNT03_336246,Ambessa,Wukong,Ryze,Ezreal,Leona,Sion,Jarvan IV,Cassiopeia,Jhin,Bard,1
13063-13063_game_1,Rek'Sai,Jarvan IV,Azir,Varus,Bard,Renekton,Ambessa,Orianna,Sivir,Alistar,1
LOLTMNT03_337298,Sion,Malphite,Taliyah,Aphelios,Karma,Rek'Sai,Nautilus,Ahri,Yunara,Lulu,0
13063-13063_game_2,Sion,Xin Zhao,Ryze,Aphelios,Thresh,Zaahen,Pantheon,Anivia,Yunara,Lulu,1
LOLTMNT03_337304,Kennen,Pantheon,Sylas,Ezreal,Neeko,Renekton,Wukong,Orianna,Varus,Alistar,1
13064-13064_game_1,Zaahen,Wukong,Azir,Varus,Nautilus,Ambessa,Jarvan IV,LeBlanc,Yunara,Neeko,0
13064-13064_game_2,Renekton,Dr. Mundo,Aurora,Corki,Blitzcrank,Gnar,Malphite,Syndra,Aphelios,Thresh,0
13064-13064_game_3,Sion,Xin Zhao,Taliyah,Miss Fortune,Alistar,Rek'Sai,Vi,Cassiopeia,Ezreal,Braum,1
LOLTMNT06_164136,Rumble,Naafiri,Azir,Caitlyn,Rell,Ambessa,Wukong,Taliyah,Ziggs,Alistar,1
LOLTMNT03_336378,Renekton,Malphite,Cassiopeia,Smolder,Alistar,K'Sante,Dr. Mundo,Ryze,Yunara,Lulu,0
LOLTMNT03_336395,Zaahen,Aatrox,Akali,Aphelios,Milio,Sion,Sejuani,Kassadin,Lucian,Braum,0
LOLTMNT06_163155,K'Sante,Lee Sin,Ryze,Ezreal,Bard,Gnar,Dr. Mundo,Orianna,Corki,Nautilus,1
LOLTMNT05_171148,Sion,Jayce,Ryze,Ezreal,Rakan,Gnar,Nocturne,Aurelion Sol,Ashe,Rell,1
LOLTMNT04_147208,Camille,Ivern,Akali,Aphelios,Rakan,Gragas,Vi,Orianna,Miss Fortune,Rell,0
LOLTMNT01_320312,Rumble,Skarner,Mel,Yunara,Braum,Olaf,Ambessa,Ryze,Corki,Rakan,0
LOLTMNT01_321143,Renekton,Xin Zhao,Ryze,Jhin,Leona,K'Sante,Jarvan IV,Syndra,Corki,Neeko,1
LOLTMNT03_337429,Ornn,Lee Sin,LeBlanc,Tristana,Lulu,Gragas,Poppy,Azir,Aphelios,Tahm Kench,0
LOLTMNT01_321144,K'Sante,Sejuani,Azir,Corki,Nami,Vayne,Vi,Orianna,Yunara,Neeko,0
LOLTMNT01_320314,Kennen,Jarvan IV,Corki,Ezreal,Karma,Renekton,Sejuani,Azir,Caitlyn,Nautilus,0
LOLTMNT06_163157,Gnar,Vi,Ryze,Sivir,Alistar,Aurora,Jarvan IV,Syndra,Yunara,Rell,0
LOLTMNT05_172108,Cho'Gath,Jarvan IV,Syndra,Corki,Bard,Urgot,Xin Zhao,Fizz,Sivir,Braum,1
LOLTMNT04_147222,Dr. Mundo,Xin Zhao,Ahri,Yunara,Lulu,Jax,Wukong,Orianna,Xayah,Rakan,0
LOLTMNT03_337434,Renekton,Sejuani,Ryze,Corki,Nautilus,Zaahen,Diana,Syndra,Yunara,Leona,1
LOLTMNT05_172117,Sett,Zyra,Syndra,Corki,Leona,K'Sante,Qiyana,Akali,Kai'Sa,Neeko,0
LOLTMNT01_320319,Akali,Jarvan IV,Sion,Yunara,Leona,Ornn,Wukong,LeBlanc,Aphelios,Nautilus,1
LOLTMNT01_321152,Rumble,Vi,Hwei,Corki,Rakan,Ornn,Nocturne,Orianna,Jhin,Leona,1
LOLTMNT01_321153,Zaahen,Xin Zhao,Viktor,Yunara,Rell,K'Sante,Sejuani,Ryze,Kai'Sa,Rakan,1
LOLTMNT01_320320,Sion,Wukong,Azir,Smolder,Karma,Gwen,Trundle,Viktor,Yunara,Nautilus,0
LOLTMNT06_163158,Rumble,Aatrox,Taliyah,Lucian,Braum,Ambessa,Sejuani,Viktor,Aphelios,Nautilus,0
LOLTMNT04_147233,Rumble,Dr. Mundo,Akali,Varus,Neeko,Aatrox,Vi,Orianna,Jhin,Alistar,0
LOLTMNT05_172129,Sion,Wukong,Syndra,Sivir,Rell,K'Sante,Diana,Orianna,Corki,Alistar,0
LOLTMNT01_320332,Sion,Naafiri,Orianna,Sivir,Leona,Fiora,Wukong,Syndra,Corki,Alistar,0
LOLTMNT01_321182,Aatrox,Dr. Mundo,Mel,Corki,Leona,Yone,Sejuani,Rumble,Ezreal,Karma,1
LOLTMNT01_321187,Aatrox,Vi,Ryze,Ezreal,Bard,Renekton,Dr. Mundo,Viktor,Corki,Neeko,1
LOLTMNT01_320336,Zaahen,Xin Zhao,Syndra,Sivir,Rakan,Sion,Trundle,Mel,Yunara,Braum,1
LOLTMNT04_148254,Ambessa,Rammus,Gragas,Aphelios,Lulu,Renekton,Udyr,Azir,Ezreal,Neeko,1
LOLTMNT04_147249,Ambessa,Vi,Swain,Corki,Nami,Rumble,Jarvan IV,Taliyah,Yunara,Alistar,1
LOLTMNT03_337493,Ambessa,Jarvan IV,Ryze,Varus,Leona,K'Sante,Jayce,Taliyah,Ezreal,Karma,1
LOLTMNT03_337495,Yorick,Pantheon,Taliyah,Sivir,Alistar,Ambessa,Vi,Ahri,Aphelios,Nautilus,0
LOLTMNT03_337511,Gnar,Vi,Ahri,Corki,Rakan,Yorick,Qiyana,Galio,Yunara,Bard,1
LOLTMNT03_337513,K'Sante,Jayce,Anivia,Yunara,Rell,Rumble,Dr. Mundo,Ryze,Smolder,Leona,1
LOLTMNT01_320405,K'Sante,Wukong,Ryze,Yunara,Rakan,Rumble,Ambessa,Galio,Ezreal,Leona,1
LOLTMNT01_320423,Sion,Dr. Mundo,Azir,Corki,Nautilus,Renekton,Malphite,Akali,Kai'Sa,Rell,0
LOLTMNT03_336495,K'Sante,Ambessa,Ryze,Yunara,Lulu,Rumble,Wukong,Taliyah,Corki,Nami,1
LOLTMNT01_320441,Gnar,Pantheon,Taliyah,Caitlyn,Alistar,Jax,Lee Sin,Aurora,Miss Fortune,Poppy,0
LOLTMNT03_336502,Gwen,Xin Zhao,Ekko,Varus,Rakan,Sion,Jarvan IV,Syndra,Ashe,Braum,1
13106-13106_game_1,K'Sante,Malphite,Akali,Aphelios,Alistar,Renekton,Jarvan IV,Orianna,Yunara,Lulu,0
LOLTMNT01_320481,K'Sante,Jayce,Anivia,Aphelios,Thresh,Gwen,Dr. Mundo,Ryze,Yunara,Blitzcrank,0
13106-13106_game_2,Rek'Sai,Xin Zhao,Azir,Varus,Renata Glasc,Sion,Wukong,Viktor,Miss Fortune,Leona,1
LOLTMNT03_337590,Ambessa,Pantheon,Ryze,Lucian,Milio,Rumble,Vi,Taliyah,Corki,Alistar,0
LOLTMNT01_320496,Renekton,Wukong,Ahri,Varus,Rakan,Ornn,Aatrox,Taliyah,Sivir,Bard,1
LOLTMNT03_336511,Gnar,Wukong,Aurora,Ziggs,Rakan,K'Sante,Xin Zhao,Sylas,Aphelios,Lulu,0
13066-13066_game_1,K'Sante,Ambessa,Orianna,Yunara,Poppy,Renekton,Jarvan IV,Akali,Varus,Rakan,0
LOLTMNT03_337603,Akali,Nocturne,Orianna,Sivir,Bard,Rek'Sai,Jarvan IV,Azir,Jhin,Nautilus,1
13066-13066_game_2,Yorick,Dr. Mundo,Azir,Sivir,Lulu,Gnar,Malphite,Taliyah,Jinx,Rell,1
LOLTMNT06_164172,Ambessa,Xin Zhao,Orianna,Kai'Sa,Rell,Aatrox,Wukong,Ryze,Yunara,Nautilus,1
LOLTMNT06_164175,Gnar,Zac,Mel,Corki,Rakan,K'Sante,Zaahen,Akali,Lucian,Braum,0
