gameid,top_blue,jng_blue,mid_blue,bot_blue,sup_blue,top_red,jng_red,mid_red,bot_red,sup_red,result
LOLTMNT03_199341,Camille,Wukong,Viktor,Kai'Sa,Maokai,Ornn,Lillia,Galio,Corki,Thresh,1
LOLTMNT03_200360,Gnar,Vi,Taliyah,Miss Fortune,Leona,Aurora,Xin Zhao,Vel'Koz,Ashe,Bard,1
LOLTMNT02_222826,Jayce,Xin Zhao,Galio,Zeri,Rakan,Rumble,Vi,Sylas,Ezreal,Alistar,0
11763-11763_game_1,Renekton,Nidalee,Azir,Varus,Leona,Ambessa,Lillia,Corki,Ezreal,Rell,1
LOLTMNT02_222827,Ambessa,Sejuani,Azir,Kai'Sa,Rell,K'Sante,Maokai,Aurora,Varus,Braum,0
11763-11763_game_2,Rumble,Poppy,Viktor,Ashe,Braum,Kennen,Xin Zhao,Aurora,Jhin,Bard,1
LOLTMNT02_222830,Gnar,Lillia,Ryze,Miss Fortune,Nautilus,Gangplank,Zyra,Ahri,Ashe,Poppy,0
11763-11763_game_3,Jayce,Viego,Ryze,Senna,Ornn,Sion,Zyra,Hwei,Miss Fortune,Nautilus,1
11763-11763_game_4,Galio,Pantheon,Akali,Zeri,Lulu,Maokai,Vi,Yone,Caitlyn,Karma,0
LOLTMNT02_222859,Renekton,Sejuani,Azir,Varus,Poppy,Ambessa,Maokai,Aurora,Miss Fortune,Pantheon,1
11764-11764_game_1,Ambessa,Viego,Ryze,Miss Fortune,Nautilus,Renekton,Nidalee,Corki,Varus,Rell,1
LOLTMNT02_221877,K'Sante,Vi,Hwei,Xayah,Rakan,Jayce,Xin Zhao,Corki,Kai'Sa,Nautilus,1
LOLTMNT05_114181,Rumble,Maokai,Jayce,Kai'Sa,Braum,Riven,Sejuani,Viktor,Zeri,Rell,1
11764-11764_game_2,Rumble,Skarner,Azir,Ashe,Renata Glasc,Udyr,Zyra,Lee Sin,Ezreal,Leona,1
LOLTMNT02_221883,Gnar,Skarner,Orianna,Zeri,Lulu,Jax,Wukong,Taliyah,Ezreal,Karma,1
LOLTMNT05_114188,Rumble,Pantheon,Yone,Ezreal,Rell,K'Sante,Vi,Mel,Jinx,Nautilus,1
11764-11764_game_3,Poppy,Wukong,Aurora,Smolder,Bard,K'Sante,Volibear,Viktor,Kai'Sa,Blitzcrank,1
LOLTMNT03_200428,Ambessa,Ivern,Viktor,Jinx,Nautilus,Renekton,Nidalee,Jayce,Mel,Maokai,1
LOLTMNT02_221893,Olaf,Viego,Ryze,Ashe,Elise,Camille,Lee Sin,Viktor,Ziggs,Leona,1
LOLTMNT05_113207,Irelia,Ivern,Gwen,Sivir,Leona,Rumble,Maokai,Yone,Varus,Rakan,1
11764-11764_game_4,Gnar,Xin Zhao,Taliyah,Jinx,Lulu,Maokai,Jax,Karma,Aphelios,Rakan,1
LOLTMNT02_222907,Gragas,Lillia,Yone,Jinx,Alistar,Aatrox,Nidalee,Tristana,Jhin,Rell,1
LOLTMNT03_199436,K'Sante,Zyra,Smolder,Ezreal,Karma,Camille,Wukong,Azir,Caitlyn,Thresh,0
LOLTMNT05_114206,Ambessa,Maokai,Corki,Varus,Leona,K'Sante,Pantheon,Syndra,Ezreal,Karma,1
11764-11764_game_5,Aatrox,Sejuani,Yone,Ziggs,Shen,Olaf,Zac,Akali,Jhin,Alistar,1
LOLTMNT05_114249,K'Sante,Vi,Azir,Ezreal,Leona,Ambessa,Sejuani,Viktor,Corki,Rakan,0
LOLTMNT05_114254,Gragas,Wukong,Ahri,Zeri,Lulu,Sion,Xin Zhao,Orianna,Varus,Rell,1
LOLTMNT05_113282,Rumble,Maokai,Jayce,Sivir,Blitzcrank,Gnar,Ivern,Mel,Kai'Sa,Nautilus,1
LOLTMNT02_222976,Jayce,Sejuani,Sylas,Corki,Rell,K'Sante,Vi,Azir,Varus,Braum,0
LOLTMNT02_221986,Sion,Zyra,Yone,Ezreal,Leona,Gnar,Xin Zhao,Akali,Kai'Sa,Poppy,0
LOLTMNT05_114277,K'Sante,Vi,Taliyah,Kai'Sa,Poppy,Ambessa,Pantheon,Azir,Ezreal,Elise,1
LOLTMNT05_113307,Camille,Maokai,Tristana,Varus,Rell,Rumble,Xin Zhao,Syndra,Corki,Alistar,1
LOLTMNT02_221993,Jax,Maokai,Viktor,Miss Fortune,Alistar,Garen,Pantheon,Orianna,Jhin,Bard,1
LOLTMNT05_113309,Jayce,Sejuani,Orianna,Zeri,Yuumi,Sion,Wukong,Sylas,Sivir,Lulu,1
LOLTMNT02_222000,Ambessa,Sejuani,Azir,Kalista,Pantheon,Gangplank,Skarner,Taliyah,Corki,Nautilus,0
LOLTMNT02_224009,Jayce,Xin Zhao,Aurora,Kai'Sa,Rakan,Rumble,Vi,Viktor,Zeri,Alistar,1
LOLTMNT02_223007,Sion,Lillia,Hwei,Ezreal,Rell,Aatrox,Wukong,Ahri,Ziggs,Poppy,1
11765-11765_game_1,Galio,Vi,Corki,Kai'Sa,Rell,Rumble,Sejuani,Yone,Ezreal,Alistar,0
LOLTMNT02_223033,Camille,Sejuani,Yone,Kai'Sa,Alistar,Mordekaiser,Nidalee,Ambessa,Ezreal,Leona,1
11765-11765_game_2,K'Sante,Xin Zhao,Ryze,Varus,Karma,Ambessa,Nidalee,Ahri,Ashe,Braum,1
LOLTMNT02_223039,Rumble,Vi,Taliyah,Corki,Nautilus,K'Sante,Xin Zhao,Azir,Ashe,Poppy,1
11765-11765_game_3,Maokai,Nocturne,Taliyah,Xayah,Rakan,Jax,Viego,Viktor,Miss Fortune,Leona,1
LOLTMNT02_223046,Aatrox,Maokai,Ahri,Miss Fortune,Rell,Vayne,Lee Sin,Galio,Zeri,Rakan,1
LOLTMNT02_223059,Sion,Karthus,Viego,Varus,Bard,Gnar,Zyra,Sylas,Jhin,Pantheon,1
11765-11765_game_4,Gnar,Zac,Aurora,Jhin,Neeko,Camille,Pantheon,LeBlanc,Caitlyn,Elise,0
LOLTMNT02_223070,Gwen,Wukong,Viktor,Caitlyn,Karma,Ornn,Trundle,Aurelion Sol,Jinx,Lulu,1
LOLTMNT02_224092,K'Sante,Vi,Aurora,Ezreal,Alistar,Ambessa,Maokai,Corki,Ashe,Renata Glasc,0
11766-11766_game_1,Aurora,Viego,Sylas,Ezreal,Karma,Rumble,Sejuani,Yone,Ashe,Rell,0
LOLTMNT02_224095,Rumble,Xin Zhao,Sylas,Miss Fortune,Leona,Jayce,Sejuani,Taliyah,Varus,Poppy,1
LOLTMNT05_113320,Ambessa,Vi,Viktor,Jinx,Leona,K'Sante,Xin Zhao,Mel,Ezreal,Poppy,1
11766-11766_game_2,Ambessa,Lillia,Azir,Varus,Braum,Jayce,Nidalee,Hwei,Jhin,Leona,0
LOLTMNT02_224097,Udyr,Nocturne,Galio,Xayah,Rakan,Ornn,Pantheon,Orianna,Kai'Sa,Nautilus,0
LOLTMNT05_114309,Ambessa,Vi,Azir,Varus,Rakan,Camille,Ivern,Aurora,Kalista,Leona,0
LOLTMNT03_200603,Ornn,Viego,Viktor,Ezreal,Leona,Jayce,Sejuani,Akali,Kai'Sa,Nautilus,0
LOLTMNT02_224106,Gragas,Jarvan IV,Viktor,Jhin,Neeko,Sion,Nidalee,Tristana,Caitlyn,Braum,0
11766-11766_game_3,Ornn,Vi,Ahri,Kai'Sa,Pantheon,K'Sante,Zyra,Tristana,Caitlyn,Nautilus,1
LOLTMNT05_113324,Jayce,Skarner,Mel,Varus,Leona,Maokai,Kayn,Ambessa,Kog'Maw,Rell,0
LOLTMNT03_200612,Anivia,Skarner,Azir,Varus,Rell,Sion,Xin Zhao,Xerath,Miss Fortune,Alistar,1
11766-11766_game_4,Renekton,Xin Zhao,Akali,Jinx,Lulu,Maokai,Wukong,Orianna,Zeri,Yuumi,1
LOLTMNT05_113330,Rumble,Pantheon,Aurora,Ezreal,Rell,Ambessa,Vi,Irelia,Kai'Sa,Leona,1
LOLTMNT05_113346,K'Sante,Zyra,Corki,Xayah,Rakan,Garen,Skarner,Aurora,Ezreal,Nautilus,1
LOLTMNT05_114349,Ornn,Nidalee,Jayce,Zeri,Rell,Rumble,Sejuani,Yone,Kai'Sa,Galio,1
LOLTMNT05_113358,Poppy,Pantheon,Azir,Jhin,Leona,Ambessa,Xin Zhao,Syndra,Jinx,Braum,1
LOLTMNT05_114376,Gnar,Skarner,Azir,Corki,Leona,K'Sante,Maokai,Ziggs,Ezreal,Poppy,0
LOLTMNT05_113363,Ambessa,Nocturne,Orianna,Kalista,Renata Glasc,Renekton,Sejuani,Neeko,Varus,Zyra,0
LOLTMNT05_114381,Vex,Vi,Yone,Ezreal,Rakan,Ambessa,Sejuani,Lee Sin,Kai'Sa,Rell,1
LOLTMNT05_114389,K'Sante,Xin Zhao,Orianna,Varus,Nautilus,Poppy,Nidalee,Azir,Corki,Braum,0
LOLTMNT05_113376,Ornn,Pantheon,Viktor,Xayah,Rakan,Jax,Xin Zhao,Aurelion Sol,Kai'Sa,Nautilus,0
LOLTMNT02_223180,K'Sante,Zyra,Jayce,Kai'Sa,Alistar,Rumble,Skarner,Viktor,Corki,Rell,1
LOLTMNT02_223181,Renekton,Pantheon,Azir,Varus,Braum,Aatrox,Viego,Aurora,Ashe,Leona,1
11767-11767_game_1,Jayce,Nocturne,Aurora,Ezreal,Leona,Ambessa,Vi,Akali,Varus,Renata Glasc,0
LOLTMNT02_224187,Gnar,Xin Zhao,Annie,Ezreal,Karma,Camille,Wukong,Galio,Mel,Maokai,1
11767-11767_game_2,K'Sante,Viego,Galio,Xayah,Rakan,Camille,Xin Zhao,Taliyah,Miss Fortune,Neeko,1
LOLTMNT02_223183,Jax,Nocturne,LeBlanc,Miss Fortune,Nautilus,Ornn,Karthus,Yasuo,Jhin,Poppy,0
11767-11767_game_3,Gragas,Maokai,Azir,Ashe,Braum,Jax,Lillia,Ryze,Jhin,Alistar,0
11767-11767_game_4,Kennen,Wukong,Yone,Caitlyn,Karma,Rumble,Sejuani,Lucian,Kalista,Pantheon,0
LOLTMNT02_224203,Ambessa,Vi,Aurora,Kai'Sa,Rakan,K'Sante,Xin Zhao,Mel,Varus,Renata Glasc,0
LOLTMNT03_200716,Jayce,Nocturne,Orianna,Tristana,Alistar,K'Sante,Xin Zhao,Aurora,Varus,Elise,0
LOLTMNT03_200727,Jax,Graves,LeBlanc,Ashe,Bard,Ambessa,Pantheon,Akali,Ezreal,Annie,0
LOLTMNT02_224206,Jayce,Zyra,Syndra,Ashe,Nautilus,Rumble,Nocturne,Corki,Jhin,Poppy,0
11768-11768_game_1,Poppy,Nocturne,Aurora,Kai'Sa,Rell,Ambessa,Sejuani,Viktor,Xayah,Braum,1
LOLTMNT03_200742,Jayce,Sejuani,Taliyah,Ezreal,Nautilus,K'Sante,Nidalee,Corki,Ashe,Braum,1
LOLTMNT02_224207,Camille,Lee Sin,Ahri,Miss Fortune,Rell,Gnar,Nidalee,Taliyah,Ezreal,Alistar,1
LOLTMNT03_199769,Renekton,Xin Zhao,Aurora,Varus,Rell,Ambessa,Vi,Ahri,Kai'Sa,Alistar,1
11768-11768_game_2,Rumble,Wukong,Ahri,Varus,Leona,K'Sante,Vi,Akali,Jhin,Alistar,1
LOLTMNT02_223201,Olaf,Lillia,Azir,Jinx,Thresh,Renekton,Wukong,Akali,Xayah,Blitzcrank,0
LOLTMNT03_199785,Rumble,Viego,Ryze,Jhin,Amumu,Gnar,Lillia,Yasuo,Miss Fortune,Leona,0
11768-11768_game_3,Renekton,Zyra,Jayce,Senna,Sion,Gnar,Viego,Azir,Ezreal,Karma,0
LOLTMNT02_224217,Gragas,Sejuani,Yasuo,Zeri,Lulu,Jax,Pantheon,Viktor,Caitlyn,Bard,0
LOLTMNT03_199801,K'Sante,Vi,Taliyah,Kalista,Neeko,Rumble,Xin Zhao,Jayce,Varus,Karma,1
11768-11768_game_4,Gragas,Xin Zhao,Yasuo,Zeri,Yuumi,Camille,Jax,Orianna,Jinx,Lulu,0
LOLTMNT03_200804,Gangplank,Maokai,Corki,Jhin,Poppy,Jax,Sejuani,Yone,Ashe,Seraphine,0
LOLTMNT03_200813,K'Sante,Xin Zhao,Vladimir,Corki,Leona,Sion,Wukong,Syndra,Miss Fortune,Braum,0
LOLTMNT03_199861,Sion,Pantheon,Syndra,Miss Fortune,Nautilus,K'Sante,Gwen,Yasuo,Corki,Leona,0
LOLTMNT03_199872,Maokai,Viego,Viktor,Varus,Leona,Ornn,Lillia,Yone,Corki,Renata Glasc,0
LOLTMNT02_223230,Camille,Wukong,Galio,Mel,Rell,Ornn,Vi,Azir,Varus,Nautilus,1
LOLTMNT05_113387,K'Sante,Sejuani,Azir,Varus,Lulu,Poppy,Maokai,Taliyah,Ezreal,Blitzcrank,0
LOLTMNT03_199892,Wukong,Lillia,Yone,Xayah,Renata Glasc,Sion,Xin Zhao,Ryze,Draven,Leona,1
LOLTMNT02_223244,Jayce,Maokai,Mel,Xayah,Leona,K'Sante,Sejuani,Orianna,Lucian,Braum,1
LOLTMNT05_113388,Rumble,Vi,Viktor,Zeri,Alistar,Galio,Nocturne,Aurora,Kai'Sa,Rell,1
LOLTMNT02_224255,Ambessa,Skarner,Syndra,Varus,Bard,Jayce,Ivern,Hwei,Sivir,Leona,1
LOLTMNT05_114409,Renekton,Zyra,Yone,Corki,Leona,Ornn,Diana,Jayce,Yasuo,Senna,1
LOLTMNT02_223268,Maokai,Lillia,Tristana,Ezreal,Alistar,Ambessa,Sejuani,Aurora,Corki,Rell,0
LOLTMNT02_224265,Renekton,Maokai,Hwei,Jinx,Nautilus,Malphite,Pantheon,Aurora,Corki,Rell,0
LOLTMNT05_114414,Sion,Viego,Ryze,Draven,Seraphine,Cho'Gath,Xin Zhao,Anivia,Caitlyn,Braum,0
LOLTMNT02_224294,Gnar,Ambessa,Orianna,Ashe,Poppy,K'Sante,Xin Zhao,Azir,Xayah,Rakan,1
LOLTMNT02_224298,Rumble,Nocturne,Taliyah,Jhin,Rell,Galio,Pantheon,Viktor,Varus,Bard,1
LOLTMNT03_200979,Ambessa,Xin Zhao,Aurora,Corki,Rell,K'Sante,Vi,Akali,Varus,Elise,1
11769-11769_game_1,K'Sante,Nidalee,Jayce,Corki,Alistar,Ambessa,Vi,Ryze,Kai'Sa,Leona,0
LOLTMNT03_200987,Aatrox,Nocturne,Orianna,Kalista,Galio,Jax,Maokai,Jayce,Ziggs,Leona,0
LOLTMNT02_224302,Renekton,Lillia,LeBlanc,Ezreal,Nautilus,Olaf,Zyra,Tristana,Miss Fortune,Leona,1
11769-11769_game_2,Renekton,Kindred,Taliyah,Varus,Nautilus,Gnar,Xin Zhao,Azir,Ashe,Renata Glasc,1
LOLTMNT03_201028,Gwen,Skarner,Aurora,Ezreal,Leona,K'Sante,Lillia,Corki,Sivir,Nautilus,1
LOLTMNT02_224305,Jax,Maokai,Jayce,Kai'Sa,Blitzcrank,Camille,Viego,Aurora,Lee Sin,Senna,1
11769-11769_game_3,Maokai,Lillia,Yone,Jhin,Poppy,Jax,Lee Sin,Ahri,Ezreal,Braum,1
LOLTMNT03_202009,Jayce,Viego,Sylas,Varus,Rell,Irelia,Maokai,Viktor,Ashe,Braum,0
LOLTMNT02_224309,Aatrox,Vi,Ahri,Smolder,Alistar,Sion,Wukong,Sylas,Zeri,Lulu,1
11769-11769_game_4,Wukong,Sejuani,Akali,Zeri,Rakan,Camille,Shen,Tristana,Ziggs,Rell,1
11769-11769_game_5,Aurora,Volibear,Galio,Jinx,Lulu,Kennen,Viego,Hwei,Miss Fortune,Bard,1
LOLTMNT06_105113,K'Sante,Pantheon,Viktor,Xayah,Rell,Ambessa,Sejuani,Azir,Kai'Sa,Poppy,0
LOLTMNT06_104115,K'Sante,Nocturne,Taliyah,Ezreal,Nautilus,Poppy,Maokai,Azir,Corki,Alistar,1
LOLTMNT03_202058,Ornn,Jarvan IV,Galio,Tristana,Braum,Olaf,Nocturne,Orianna,Xayah,Leona,0
LOLTMNT06_105121,Ambessa,Vi,Galio,Varus,Rell,K'Sante,Nidalee,Corki,Ezreal,Leona,1
LOLTMNT02_224337,Ambessa,Skarner,Azir,Ezreal,Pyke,K'Sante,Maokai,Corki,Ziggs,Rakan,1
LOLTMNT03_201125,Camille,Zyra,Jayce,Varus,Rell,Ambessa,Pantheon,Taliyah,Ezreal,Nautilus,1
LOLTMNT06_104125,Ambessa,Vi,Ahri,Kai'Sa,Nautilus,Wukong,Pantheon,Taliyah,Ezreal,Leona,1
LOLTMNT02_223347,Ambessa,Sejuani,Ahri,Corki,Nautilus,Renekton,Wukong,Azir,Ezreal,Alistar,1
LOLTMNT03_201147,K'Sante,Ivern,Viktor,Kai'Sa,Nautilus,Sion,Wukong,Cassiopeia,Ashe,Lulu,1
LOLTMNT02_224341,Ambessa,Sejuani,Taliyah,Ezreal,Rakan,Renekton,Maokai,Azir,Corki,Nautilus,1
LOLTMNT05_113406,K'Sante,Maokai,Corki,Ezreal,Alistar,Swain,Sejuani,Yone,Kai'Sa,Nautilus,1
LOLTMNT06_104128,Aatrox,Rumble,Yone,Tristana,Nautilus,Ornn,Skarner,Aurora,Ashe,Renata Glasc,0
LOLTMNT03_202081,Garen,Nidalee,Syndra,Draven,Leona,Jax,Skarner,Viktor,Jinx,Thresh,0
LOLTMNT02_224345,Renekton,Lillia,Orianna,Draven,Rell,Ambessa,Wukong,Ahri,Tristana,Poppy,1
LOLTMNT06_105133,Jayce,Sejuani,Sylas,Kai'Sa,Braum,Ambessa,Xin Zhao,Azir,Varus,Nautilus,1
LOLTMNT02_223350,Poppy,Vi,Ahri,Jinx,Rell,K'Sante,Xin Zhao,Ryze,Xayah,Leona,0
LOLTMNT03_201170,Kled,Maokai,Vex,Lucian,Milio,Renekton,Gwen,Yasuo,Varus,Renata Glasc,0
LOLTMNT05_113407,Jayce,Vi,Ahri,Zeri,Bard,Sion,Xin Zhao,Viktor,Jinx,Thresh,1
LOLTMNT03_201174,Camille,Lillia,Jayce,Varus,Leona,Gnar,Jarvan IV,Syndra,Sivir,Braum,0
LOLTMNT03_202120,Ambessa,Skarner,Azir,Corki,Thresh,Warwick,Vi,Viktor,Ezreal,Leona,1
LOLTMNT06_105139,Jayce,Xin Zhao,Akali,Corki,Rakan,Camille,Wukong,Viktor,Ezreal,Rell,1
LOLTMNT05_113410,Ambessa,Jarvan IV,Azir,Jhin,Karma,Poppy,Wukong,Orianna,Caitlyn,Leona,1
LOLTMNT03_201208,Cho'Gath,Pantheon,Syndra,Vayne,Rell,Sejuani,Bel'Veth,Mel,Jinx,Thresh,0
LOLTMNT02_224367,Galio,Pantheon,Aurora,Jhin,Alistar,Rumble,Wukong,Syndra,Caitlyn,Elise,1
LOLTMNT03_201214,Aatrox,Xin Zhao,Karma,Draven,Taric,Ornn,Viego,Aurora,Corki,Janna,0
LOLTMNT03_202130,Ambessa,Ivern,Viktor,Corki,Leona,Garen,Brand,Varus,Ezreal,Rell,1
LOLTMNT03_201222,Gwen,Pantheon,Orianna,Tristana,Rell,Malphite,Zyra,Yone,Miss Fortune,Rakan,1
LOLTMNT05_113417,Jax,Pantheon,Hwei,Sivir,Lulu,Ornn,Viego,Taliyah,Xayah,Rakan,1
LOLTMNT06_104140,K'Sante,Pantheon,Aurora,Jhin,Nautilus,Gwen,Jarvan IV,Ahri,Ashe,Alistar,1
LOLTMNT02_224370,Jayce,Lee Sin,Akali,Mel,Bard,Sion,Jax,Viktor,Miss Fortune,Blitzcrank,0
LOLTMNT03_201237,Ambessa,Diana,Viktor,Xayah,Renata Glasc,Renekton,Sejuani,Orianna,Kai'Sa,Alistar,0
LOLTMNT03_201239,Aatrox,Lee Sin,LeBlanc,Miss Fortune,Poppy,Aurora,Pantheon,Lissandra,Tristana,Nautilus,0
LOLTMNT02_223384,Cho'Gath,Nocturne,Sylas,Ashe,Seraphine,Ornn,Viego,Tristana,Kai'Sa,Braum,0
LOLTMNT06_105146,Malphite,Olaf,LeBlanc,Zeri,Renata Glasc,Gnar,Nocturne,Orianna,Kai'Sa,Karma,1
LOLTMNT03_202151,K'Sante,Zyra,Hwei,Ezreal,Leona,Sett,Lillia,Karma,Corki,Braum,1
LOLTMNT03_202156,Yone,Skarner,Cho'Gath,Tristana,Nautilus,Renekton,Nidalee,Syndra,Ashe,Alistar,0
LOLTMNT03_201375,Ambessa,Nidalee,Aurora,Varus,Nautilus,K'Sante,Lee Sin,Orianna,Corki,Leona,1
LOLTMNT03_202243,Rumble,Zyra,Yone,Kai'Sa,Leona,K'Sante,Sejuani,Sylas,Ezreal,Braum,0
11770-11770_game_1,Rumble,Xin Zhao,Aurora,Ezreal,Alistar,Ambessa,Sejuani,Akali,Corki,Rell,1
LOLTMNT03_202255,Rumble,Xin Zhao,Annie,Ezreal,Pantheon,Jax,Zyra,Yone,Ashe,Rell,0
11770-11770_game_2,Jayce,Viego,Sylas,Xayah,Rakan,Jax,Maokai,Yone,Kai'Sa,Blitzcrank,1
LOLTMNT03_202265,Ambessa,Vi,Ahri,Corki,Rakan,Camille,Xin Zhao,Viktor,Ezreal,Poppy,1
LOLTMNT03_201417,K'Sante,Viego,Syndra,Ezreal,Braum,Ambessa,Pantheon,Aurora,Kai'Sa,Rakan,0
11770-11770_game_3,K'Sante,Lillia,Taliyah,Sivir,Leona,Gnar,Shyvana,Ahri,Varus,Poppy,0
LOLTMNT03_202285,Maokai,Ambessa,Viktor,Jinx,Lulu,K'Sante,Taliyah,Qiyana,Lucian,Nami,0
LOLTMNT03_202295,Gwen,Skarner,Viktor,Ashe,Nautilus,Jayce,Sejuani,Yone,Varus,Leona,0
11770-11770_game_4,Aatrox,Vi,Galio,Jhin,Bard,Kennen,Nocturne,Orianna,Ashe,Renata Glasc,0
LOLTMNT03_202311,Rumble,Nidalee,Yone,Corki,Rell,Ambessa,Vi,Aurora,Kai'Sa,Leona,1
LOLTMNT06_104167,Ambessa,Vi,Ahri,Kai'Sa,Rakan,Darius,Sejuani,Sylas,Varus,Renata Glasc,0
LOLTMNT06_104170,Ambessa,Nocturne,Aurora,Corki,Nautilus,Jayce,Sejuani,Azir,Ezreal,Leona,0
LOLTMNT06_105171,K'Sante,Maokai,Swain,Corki,Poppy,Ambessa,Xin Zhao,Sylas,Kalista,Galio,1
LOLTMNT03_201513,Gnar,Ivern,Vel'Koz,Varus,Leona,Camille,Skarner,Viktor,Ezreal,Rell,1
LOLTMNT02_223410,Ambessa,Taric,Ahri,Varus,Rell,K'Sante,Vi,Taliyah,Ezreal,Leona,1
LOLTMNT06_104173,Ambessa,Nocturne,Ahri,Ezreal,Leona,Jayce,Vi,Aurora,Kai'Sa,Rell,0
LOLTMNT06_104176,Renekton,Vi,Aurora,Kai'Sa,Rakan,Jax,Nocturne,Orianna,Ezreal,Rell,0
LOLTMNT05_114436,Cho'Gath,Nocturne,Azir,Corki,Nautilus,Rumble,Jarvan IV,Taliyah,Varus,Rell,0
LOLTMNT03_202386,Rumble,Pantheon,Taliyah,Corki,Alistar,Galio,Viego,Orianna,Jhin,Elise,1
LOLTMNT06_105177,Ambessa,Xin Zhao,Orianna,Ashe,Braum,Jayce,Vi,Aurora,Kalista,Renata Glasc,1
LOLTMNT02_223413,K'Sante,Lillia,Ezreal,Corki,Rakan,Fiora,Sejuani,Orianna,Varus,Poppy,1
LOLTMNT05_113437,K'Sante,Ivern,Azir,Ezreal,Alistar,Ambessa,Sejuani,Akali,Kalista,Renata Glasc,1
LOLTMNT05_113438,K'Sante,Kindred,Yone,Mel,Alistar,Jax,Pantheon,Viktor,Sivir,Lulu,1
LOLTMNT06_105179,Renekton,Nocturne,Aurora,Kai'Sa,Rell,Ambessa,Sejuani,Ahri,Ezreal,Alistar,1
LOLTMNT06_104186,Fiora,Nocturne,Orianna,Ezreal,Rakan,Jayce,Olaf,Akali,Varus,Renata Glasc,1
LOLTMNT02_223424,Camille,Maokai,Mel,Jinx,Rakan,Ambessa,Lillia,Jayce,Kai'Sa,Leona,1
LOLTMNT05_113439,Jax,Skarner,Aurora,Jinx,Rell,Sion,Xin Zhao,Taliyah,Sivir,Lulu,0
LOLTMNT03_202412,Ambessa,Skarner,Taliyah,Varus,Leona,Renekton,Kha'Zix,Azir,Ezreal,Rell,0
LOLTMNT06_104192,Gnar,Xin Zhao,Syndra,Mel,Leona,Jayce,Vi,Ryze,Varus,Nautilus,0
LOLTMNT05_113440,Shen,Xin Zhao,Aurora,Seraphine,Leona,Ambessa,Maokai,Syndra,Caitlyn,Braum,1
LOLTMNT03_201572,Ambessa,Lillia,Yone,Corki,Maokai,K'Sante,Nidalee,Hwei,Varus,Nautilus,1
LOLTMNT06_105181,Gragas,Pantheon,Ahri,Zeri,Rell,Aurora,Sejuani,Yone,Sivir,Nautilus,0
LOLTMNT05_113442,Rumble,Pantheon,Galio,Kai'Sa,Nautilus,Ornn,Nocturne,Sylas,Miss Fortune,Poppy,1
LOLTMNT03_202427,Rumble,Nocturne,Viktor,Corki,Bard,Yone,Pantheon,Syndra,Tristana,Nautilus,0
LOLTMNT05_113443,Gragas,Bel'Veth,Yasuo,Ezreal,Rakan,Ornn,Amumu,Cassiopeia,Jhin,Bard,0
LOLTMNT06_105184,K'Sante,Pantheon,Mel,Varus,Renata Glasc,Ambessa,Vi,Sylas,Ezreal,Nautilus,1
LOLTMNT03_201591,Gnar,Zyra,Karma,Ezreal,Leona,Renekton,Karthus,Sylas,Ashe,Pantheon,0
LOLTMNT05_113445,Aatrox,Zac,Viktor,Tristana,Braum,Gnar,Nunu & Willump,Orianna,Xayah,Leona,1
LOLTMNT05_113446,Gnar,Shyvana,LeBlanc,Tristana,Pyke,Sion,Warwick,Sylas,Kalista,Thresh,0
LOLTMNT06_105186,Camille,Sejuani,Yone,Kai'Sa,Rakan,Gnar,Maokai,Azir,Zeri,Poppy,0
LOLTMNT03_201606,Ornn,Nocturne,Aurora,Kai'Sa,Amumu,Garen,Ivern,Taliyah,Miss Fortune,Rell,0
LOLTMNT02_224454,Jayce,Sejuani,Azir,Corki,Pantheon,Rumble,Vi,Viktor,Varus,Alistar,1
LOLTMNT02_223470,Gnar,Nocturne,Orianna,Miss Fortune,Rell,Jax,Xin Zhao,Karma,Ashe,Braum,0
LOLTMNT03_201682,Udyr,Wukong,Karma,Sivir,Tahm Kench,Ambessa,Vi,Galio,Caitlyn,Elise,0
11771-11771_game_1,Rumble,Xin Zhao,Azir,Varus,Renata Glasc,Ambessa,Vi,Ahri,Ezreal,Karma,1
LOLTMNT02_223471,K'Sante,Lillia,Yone,Jhin,Leona,Camille,Karthus,Sett,Ezreal,Shen,1
11771-11771_game_2,Gnar,Nidalee,Yone,Miss Fortune,Neeko,Renekton,Lillia,Corki,Kalista,Alistar,1
LOLTMNT03_202542,K'Sante,Maokai,Yone,Jinx,Rell,Jax,Kindred,Karma,Varus,Braum,0
LOLTMNT02_223472,Udyr,Kindred,Annie,Kai'Sa,Pyke,Renekton,Viego,Galio,Tristana,Rakan,1
11771-11771_game_3,Jax,Sejuani,Jayce,Ziggs,Leona,Gragas,Lee Sin,Mel,Ashe,Braum,0
LOLTMNT03_201713,Jayce,Skarner,Aurora,Kai'Sa,Rell,Neeko,Nocturne,Lux,Zeri,Braum,0
11771-11771_game_4,K'Sante,Zyra,Viktor,Draven,Nautilus,Poppy,Viego,Aurora,Jinx,Lulu,0
LOLTMNT03_202613,Ambessa,Pantheon,Taliyah,Ashe,Leona,Camille,Xin Zhao,Galio,Jhin,Braum,0
LOLTMNT06_104216,Jayce,Pantheon,Ahri,Corki,Leona,Jax,Maokai,Taliyah,Varus,Rell,0
LOLTMNT06_105202,K'Sante,Wukong,Azir,Kalista,Renata Glasc,Jayce,Maokai,Sylas,Ezreal,Blitzcrank,0
